id,artists,name,born_or_started,age_at_release,release_date,popularity,duration_ms,danceability,energy,explicit,instrumentalness,key,mode,liveness,loudness,acousticness,speechiness,tempo,valence,year,num_duplicates
1W3Tw3oj3im64bg1AvCwo0,Kevin Gates,Plug Daughter,1986-02-05,28,2014-12-15,48,143821,0.794,0.752,1,0.0075299999999999985,0,1,0.13699999999999998,-6.476,0.0337,0.12300000000000001,128.016,0.496,2014,1
1W3aFw910o9YJNoL6KlIX6,Bobby Darin,A Nightingale Sang In Berkeley Square - 2001 Digital Remaster,1936-05-14,25,1962-01-01,35,182160,0.56,0.28600000000000003,0,0.0,1,1,0.0671,-11.853,0.56,0.0412,116.03200000000001,0.498,1962,1
1W3fGY38Z8JzfR96tXPMrl,Mohammed Rafi,Yahoo Chahe Mujhe Koi Junglee Kahen,1924-12-24,36,1961-12-01,10,295117,0.48200000000000004,0.9490000000000001,0,0.000128,10,1,0.457,-5.0760000000000005,0.6859999999999999,0.0924,145.083,0.639,1961,1
1W45JFu49b429PkOZYrgzd,Huey Lewis & The News,Don't Make Me Do It,1964-10-31,15,1980-01-01,29,170040,0.688,0.72,0,8.46e-05,1,0,0.0562,-6.556,0.0156,0.0471,127.255,0.905,1980,1
1W4qc7UnAuRmT93W8Ad1t1,Joey Bada$$,World Domination,1995-01-20,17,2012-06-12,53,162761,0.451,0.943,1,0.455,1,1,0.151,-1.598,0.174,0.273,79.39399999999998,0.9109999999999999,2012,1
1W51a25vcNYcO3d4oM62L6,The Jackson 5,Never Can Say Goodbye - Single Version,1955-05-26,15,1971-01-01,37,180067,0.512,0.841,0,0.0,2,1,0.248,-6.1545000000000005,0.326,0.0475,166.3835,0.8559999999999999,1971,2
1W57Il5jG9CkPMMYiVrrYN,Slint,"Don, Aman",1969-05-05,21,1991-03-15,39,388400,0.469,0.124,0,0.884,0,0,0.0988,-24.361,0.16399999999999998,0.0486,136.59,0.0328,1991,1
1W5BNFuDWpjDYxEcquf5t0,Cal Tjader,Fascinating Rhythm - live,1925-07-16,30,1956-01-01,11,165200,0.519,0.7559999999999999,0,0.84,0,0,0.0604,-12.937999999999999,0.736,0.0402,127.39200000000001,0.894,1956,1
1W5DqvSFb62bnbxz7CGWJE,Dave Mason,Just A Song,1946-05-10,23,1970-01-01,19,181162,0.649,0.402,0,0.0,7,1,0.193,-14.532,0.529,0.0525,99.476,0.621,1970,1
1W6LZGinxm6voDaC8NVnDU,Hans Zimmer,No Time for Caution,1957-09-12,57,2014-12-18,57,246272,0.265,0.22399999999999998,0,0.95,9,0,0.11800000000000001,-20.237000000000002,0.0553,0.0466,119.78399999999999,0.0387,2014,1
1W6LjwKVIxnBtKQd0juwLq,Fugees,Fu-Gee-La - Refugee Camp Remix,1972-08-30,23,1996-02-13,42,262267,0.71,0.452,0,2.18e-06,1,1,0.0637,-12.200999999999999,0.111,0.381,175.418,0.5479999999999999,1996,1
1W7f3yVEYXiI7Z4T8zQ2hF,Violent Femmes,It's Gonna Rain,1964-08-16,19,1984-06-01,31,251293,0.612,0.55,0,0.0,11,0,0.47,-13.107000000000001,0.107,0.11900000000000001,143.546,0.887,1984,1
1W7zkKgRv9mrLbfdQ8XyH3,Kehlani,Gangsta,1995-04-24,21,2016-08-05,70,177029,0.439,0.447,1,0.0,10,0,0.303,-8.318,0.111,0.0436,121.48,0.11,2016,1
1W83zJT8oUXoQOZRmLihn3,Charlie Parker,Bird Gets The Worm - New Take 1,1920-08-29,34,1955-06-01,6,184867,0.381,0.441,0,0.007090000000000002,5,0,0.24,-10.966,0.7979999999999999,0.0715,176.356,0.652,1955,1
1W8ik6iIflBnuubecGXMJE,Babatunde Olatunji,Menu Di Ye Jewe,1927-04-07,32,1960-02-15,11,202000,0.524,0.902,0,0.0453,0,0,0.0998,-4.327,0.131,0.0962,118.59299999999999,0.568,1960,1
1W8kKoSMBBL1cBAKQRtPeI,Benny Goodman Sextet,Flying Home - Instrumental,1909-05-30,28,1938-01-01,4,194973,0.7090000000000001,0.306,0,0.524,8,1,0.0959,-16.092,0.924,0.0358,163.762,0.804,1938,1
1W9F8VPigP4dYlg1apN0gl,Heavy D,Big Daddy,1967-05-24,29,1997-01-01,39,249200,0.7559999999999999,0.521,0,0.0,10,0,0.147,-8.266,0.113,0.504,178.391,0.591,1997,1
1W9GMLzc3dMZe11t5s273w,DEVO,Jerkin' Back 'N' Forth - 2010 Remaster,1955-07-09,26,1981-08-26,31,184787,0.745,0.821,0,0.1,11,0,0.182,-10.189,0.026000000000000002,0.0426,136.438,0.9670000000000001,1981,1
1W9csGp1HFTy5oCQiVW6Gl,Tess Gardella,Can't Help Lovin' Dat Man (Bonus Track),1894-12-19,33,1928-01-01,2,182333,0.654,0.168,0,4.06e-06,10,1,0.21600000000000005,-11.905,0.99,0.0544,119.322,0.48,1928,1
1W9iqifbq81MDvXx2BsM0p,Carmen Miranda,Saudade De Você,1909-02-09,27,1937-01-01,0,179733,0.573,0.16399999999999998,0,0.0005009999999999999,10,1,0.19699999999999998,-18.323,0.8220000000000001,0.0609,80.32300000000002,0.879,1937,1
1WA5av9UlqPNOKcaUdWbGM,John Williams,Somewhere in My Memory - Chorus & Orchestra Version,1932-02-08,57,1990-01-01,35,63973,0.35100000000000003,0.0767,0,0.341,2,1,0.0783,-21.396,0.99,0.0335,73.844,0.146,1990,1
1WAdq62hIVZ59nUIsjAzKW,Korn,Counting,1970-10-28,29,1999-11-09,42,218160,0.49,0.616,0,0.45299999999999996,10,1,0.10800000000000001,-7.2,0.000745,0.0339,92.305,0.42100000000000004,1999,1
1WAgUnY35IbBfXfBgZrToP,Trace Adkins,Whoop A Man's Ass,1962-01-13,47,2010-01-01,42,203467,0.529,0.9329999999999999,0,0.0233,2,1,0.0953,-5.473,0.0030600000000000002,0.0719,145.862,0.672,2010,1
1WAzagNaWNsT2i1b4ryMwT,Ramones,Loudmouth - 2016 Remaster,1952-05-18,23,1976-04-23,33,135067,0.183,0.902,0,0.537,9,1,0.129,-4.2669999999999995,1.06e-05,0.121,177.658,0.757,1976,2
1WB121KIduoFpwTkneBIVA,John Conlee,Old School,1946-08-11,52,1999-05-30,36,230667,0.705,0.6809999999999999,0,1.73e-05,3,1,0.5329999999999999,-8.547,0.317,0.0294,115.978,0.38799999999999996,1999,1
1WBqwu6JtVRD0F0tbnvlPm,Robin Williams,Kindergarten Of The Stars,1951-07-21,27,1979-01-01,24,103909,0.6629999999999999,0.345,1,1.68e-06,10,0,0.955,-22.862,0.861,0.919,82.852,0.51,1979,1
1WC2HUe7igvatDxhrS9Xyw,Shelley Fabares,True Love,1944-01-19,17,1962-01-01,6,151707,0.494,0.46,0,0.0,3,1,0.187,-8.981,0.815,0.0274,113.787,0.465,1962,1
1WDUD5R1RBWcmsRa1UrrEj,Edgar Froese,Specific Gravity Of Smile,1944-06-06,38,1983-01-01,31,578760,0.565,0.589,0,0.902,6,1,0.10800000000000001,-14.315999999999999,0.6559999999999999,0.0447,178.58,0.289,1983,1
1WDaN2MGhYmdQI1Osx7h6Q,Genesis,The Musical Box,1950-10-22,21,1971-11-12,31,629200,0.264,0.28,0,0.114,6,0,0.0704,-13.332,0.292,0.0434,146.966,0.294,1971,1
1WDdDQzo72GUbt426CwkeM,Giacomo Rondinella,Statte vicino a mme,1923-08-30,19,1942-11-23,1,175647,0.41100000000000003,0.233,0,0.0102,5,0,0.111,-15.947000000000001,0.95,0.0503,118.626,0.4370000000000001,1942,1
1WDoRiVGWNf9TjIjmmuPK2,Koopsta Knicca,Stash Pot,1975-04-27,24,1999-10-26,43,296533,0.91,0.82,1,0.00011899999999999999,1,0,0.332,-6.853,0.0269,0.11900000000000001,130.696,0.716,1999,1
1WETgXqmJ2NaziQhtav0pK,Passion Pit,Moth's Wings,1987-05-19,21,2009-01-01,49,256320,0.514,0.727,0,0.0916,11,1,0.0756,-6.218999999999999,0.0013800000000000002,0.0283,120.995,0.136,2009,1
1WEuSuC0tJquFpf2JiMjh7,The Byrds,Chimes of Freedom,1942-10-20,22,1965-06-21,34,231133,0.552,0.57,0,0.0,7,1,0.397,-10.332,0.619,0.0349,127.056,0.26,1965,1
1WFAhQMCbWkYq8dUqPakEM,Cody Johnson,Kiss Goodbye,1987-05-21,29,2016-08-05,53,200787,0.617,0.652,0,0.0,7,0,0.107,-5.132999999999999,0.151,0.0293,86.97200000000002,0.242,2016,1
