id,artists,name,born_or_started,age_at_release,release_date,popularity,duration_ms,danceability,energy,explicit,instrumentalness,key,mode,liveness,loudness,acousticness,speechiness,tempo,valence,year,num_duplicates
7B6Iy5x3DbxdUSvhPCxi1Q,David Meece,We Are the Reason,1952-05-26,28,1980-07-01,34,278293,0.429,0.38799999999999996,0,0.0,4,0,0.0566,-9.084,0.3,0.0315,120.29700000000001,0.168,1980,1
7B6ikv2D6EoK1KfWvuJBLB,Spoon,Everything Hits At Once,1968-09-10,32,2001-02-20,42,244240,0.785,0.575,0,0.000144,9,1,0.10099999999999999,-8.105,0.213,0.0341,123.02600000000001,0.5579999999999999,2001,1
7B6m8tHAYZsOKOKMU5SR2n,Rodney Atkins,Take A Back Road,1969-03-28,42,2011-10-04,68,209427,0.581,0.856,0,0.0,3,1,0.0871,-4.0,0.183,0.0783,169.90200000000004,0.9179999999999999,2011,1
7B6ybtuuhxV9IKvWSVhzwP,Ted Nugent,Together,1948-12-13,27,1976-01-01,26,354493,0.439,0.748,0,0.0812,9,0,0.65,-5.483,0.29600000000000004,0.0392,135.096,0.35700000000000004,1976,1
7B79IBJMcQLPGb2fd9To92,The Chordettes,Alice Blue Gown,1926-02-06,25,1951-04-09,3,163227,0.33799999999999997,0.0178,0,0.0,5,0,0.10099999999999999,-19.8,0.985,0.0459,161.614,0.0605,1951,1
7B7kjJZqdfaVBMsFreua8q,Shel Silverstein,Bury Me in My Shades,1930-09-25,31,1962-01-01,12,199400,0.523,0.205,0,0.0,3,1,0.168,-10.366,0.7090000000000001,0.12,175.53,0.46299999999999997,1962,1
7B7lf3sIze5VR2WuYttn18,Donna Summer,"I Feel Love - 12"" Version",1948-12-31,30,1979-04-25,64,495187,0.6920000000000001,0.79,0,0.711,5,1,0.10099999999999999,-14.065,0.07400000000000001,0.0416,128.13,0.96,1979,1
7B7pBku79p0GVWWRJ88Aiq,Brian Eno,Taking Tiger Mountain - 2004 Digital Remaster,1948-05-15,26,1974-11-01,28,332560,0.39,0.128,0,0.8220000000000001,6,1,0.183,-20.93,0.973,0.0312,150.23,0.32,1974,1
7B8IvJclv9W7LcINxYSFR5,Frank Sinatra,Young At Heart - Remastered,1915-12-12,84,2000-01-01,39,171533,0.324,0.191,0,0.0,8,1,0.38799999999999996,-13.865,0.8440000000000001,0.0349,83.57700000000001,0.381,2000,1
7B9KsUDlXPVnIXk6K5szsW,Little Feat,"Sailin' Shoes - Live at Lisner Auditorium, Washington, DC, 8/10/1977",1950-03-26,27,1978-01-01,22,383933,0.37799999999999995,0.424,0,0.00043099999999999996,2,1,0.608,-12.374,0.026000000000000002,0.0417,61.757,0.496,1978,2
7B9SZgZV8fx6wCitobsRDi,The Youngbloods,That's How Strong My Love Is,1963-09-27,7,1971-01-01,23,291373,0.6579999999999999,0.177,0,0.00944,9,1,0.11199999999999999,-15.905,0.887,0.0349,114.28200000000001,0.26,1971,1
7B9ULtBHBxqlA578hPWVKi,Whitesnake,Young Blood,1962-03-30,20,1982-11-20,22,209827,0.353,0.8690000000000001,0,0.0073799999999999985,7,1,0.40700000000000003,-11.784,0.00796,0.0743,145.006,0.491,1982,1
7BAIIz8DPMUgusZczOWmOT,Fleetwood Mac,Oh Daddy - Live 1977,1948-09-27,28,1977-02-04,31,287867,0.38,0.484,0,0.0112,2,0,0.687,-10.59,0.395,0.0455,127.679,0.16,1977,2
7BB3emVX0QaFVddCHiO9wt,Tracy Byrd,Drinkin' Bone,1966-12-17,36,2003-01-01,62,131867,0.77,0.833,0,0.0,5,1,0.0819,-4.5360000000000005,0.0793,0.027999999999999997,109.928,0.9640000000000001,2003,1
7BBZGDSZbsb4Esi8YB94HT,Nujabes,World's end Rhapsody,1974-02-07,31,2005-11-11,47,341200,0.745,0.731,0,0.6779999999999999,1,1,0.10300000000000001,-8.859,0.205,0.0949,121.52,0.898,2005,1
7BByZh832tEiz0OMEqiDz5,Vicente Fernández,Voy A Navegar,1940-02-17,32,1972-08-27,36,178469,0.369,0.314,0,9.77e-05,0,1,0.27899999999999997,-7.322999999999999,0.361,0.0367,141.28799999999995,0.39899999999999997,1972,1
7BCKQkvVvmotejiHuYIoPR,Thelonious Monk,Nutty,1917-10-10,36,1954-01-01,12,314880,0.4395,0.399,0,0.14845,0,0,0.1735,-11.712,0.7475,0.033549999999999996,131.1425,0.613,1954,2
7BCQ7bfdNpCdLmlvEGUfSG,Pescado Rabioso,Cantata de Puentes Amarillos,1952-10-05,20,1973-05-07,54,547960,0.495,0.11599999999999999,0,0.0,2,1,0.0977,-16.043,0.672,0.0405,98.101,0.34299999999999997,1973,1
7BCcAbxCLM1LXxgNGS6ejk,Tracie Spencer,My First Broken Heart,1976-07-12,11,1988-01-01,35,272467,0.604,0.456,0,0.0,7,1,0.26899999999999996,-12.75,0.578,0.0276,145.873,0.503,1988,1
7BCgPuJDZgPwOv1E4p6Cvq,Anne Murray,Could I Have This Dance,1945-06-20,48,1994-01-01,50,196467,0.483,0.341,0,0.00157,9,1,0.188,-9.833,0.78,0.0261,87.31,0.618,1994,1
7BCzMKLKQwVSLtZcDGJTJt,Mac Miller,Floating,1992-01-19,28,2020-03-19,64,254099,0.505,0.391,0,0.052000000000000005,3,1,0.113,-11.599,0.669,0.0416,135.12,0.36,2020,1
7BD50ATrF3Vab5FQy7vtK8,LeAnn Rimes,How Do I Live,1982-08-28,21,2003-11-18,64,266973,0.5770000000000001,0.462,0,0.0,2,1,0.0822,-7.989,0.128,0.0279,128.303,0.258,2003,2
7BDbyDs5FUmnh955RABFd7,Lake Street Dive,Good Kisser,1985-07-20,32,2018-05-04,64,218493,0.485,0.591,0,0.00278,10,1,0.0787,-3.888,0.11900000000000001,0.0453,160.336,0.636,2018,1
7BE3XkHz7d4khG2uJMM0XA,Vicente Fernández,Con Una Copa De Vino,1940-02-17,26,1967-01-01,37,141987,0.4920000000000001,0.35200000000000004,0,0.0,7,1,0.11599999999999999,-7.3210000000000015,0.685,0.0314,134.312,0.784,1967,1
