id,artists,name,born_or_started,age_at_release,release_date,popularity,duration_ms,danceability,energy,explicit,instrumentalness,key,mode,liveness,loudness,acousticness,speechiness,tempo,valence,year,num_duplicates
5ulzFkVBiixy4LYSJp3YuW,The Moody Blues,Don't Let Me Be Misunderstood - BBC Saturday Club Session,1943-09-08,24,1967-11-10,21,142960,0.5840000000000001,0.5734999999999999,0,2.76e-06,9,0,0.09790000000000001,-6.886,0.21799999999999997,0.0345,105.99100000000001,0.8405,1967,2
5umI2Ra11zPhee5ShYXps2,Pixies,Brick Is Red,1965-04-05,22,1988-01-01,38,122440,0.6,0.521,0,0.00748,7,1,0.23399999999999999,-14.892000000000001,0.0692,0.033,120.745,0.7390000000000001,1988,1
5umIV8pqPs8g5JaRH0eaMB,Najee,For The Love Of You,1957-11-04,28,1986-01-01,24,301693,0.6890000000000001,0.431,0,0.522,4,1,0.0676,-17.937,0.00299,0.0361,102.354,0.5720000000000001,1986,1
5unomAZop0VloK8vwwuPpi,AFI,Miseria Cantare - The Beginning,1975-04-25,27,2003-01-01,40,176507,0.384,0.6759999999999999,0,0.0622,3,0,0.13699999999999998,-6.4170000000000025,0.0046,0.052000000000000005,67.693,0.256,2003,1
5unyV1vQvmTEijwFKyVENc,Johnny Cash,Singin' in Viet Nam Talkin' Blues,1932-02-26,39,1971-05-26,27,178227,0.5379999999999999,0.561,0,1.71e-06,10,1,0.0994,-12.001,0.442,0.0985,91.838,0.815,1971,1
5uogMVrrsisSarR4RO4E7K,Paul McCartney,No More Lonely Nights,1942-06-18,45,1987-11-02,43,281960,0.316,0.369,0,2.06e-05,5,1,0.15200000000000002,-14.719,0.033035,0.034600000000000006,174.95749999999998,0.475,1987,2
5uouZKiBzhVIx1RbbthlCN,Ignacio Corsini,Donde Estás Corazón - Remasterizado,1891-02-13,37,1928-05-14,0,136040,0.63,0.25166666666666665,0,0.3241466666666667,3,1,0.14833333333333332,-18.969000000000005,0.9886666666666667,0.06696666666666667,107.77,0.8843333333333333,1928,3
5upa2GofaZrflJ5mW2y0OR,Casting Crowns,Lifesong,1927-12-03,77,2005-08-30,45,316720,0.473,0.713,0,0.000155,1,1,0.12,-7.5939999999999985,0.000454,0.031,112.027,0.129,2005,1
5upt9rusOPs3OKuHYdDh94,Alice Cooper,Spark in the Dark,1948-02-04,41,1989-07-25,42,231173,0.414,0.975,0,0.00103,0,0,0.4920000000000001,-4.596,0.0202,0.10099999999999999,134.477,0.39399999999999996,1989,1
5uq10BE6O3N1kX8M7tdATF,Gang Of Four,Contract,1959-07-28,19,1979-01-01,24,160733,0.621,0.8809999999999999,0,0.017,9,1,0.0569,-7.841,0.0106,0.462,181.27599999999998,0.376,1979,1
5uq3x8Pg8HAj8qNwPFOzfl,Sleeping At Last,Light,1941-04-20,73,2014-07-08,58,262533,0.22399999999999998,0.387,0,0.00548,0,1,0.0689,-9.022,0.532,0.0287,104.566,0.0395,2014,1
5uqQQtXsY2HJLbPVPwcz6C,Ryan Bingham,The Weary Kind,1981-03-31,28,2010-01-01,51,258293,0.48,0.313,0,0.0223,2,1,0.122,-16.358,0.938,0.0284,100.075,0.273,2010,1
5uqbTKo8Ogq1sBQ3u940Xz,Darryl Worley,Awful Beautiful Life,1964-10-31,39,2004-01-01,45,232800,0.627,0.777,0,1.09e-06,2,1,0.17300000000000001,-6.91,0.0189,0.0322,112.59899999999999,0.643,2004,1
5uqqN7z9UNZ5jEzHHbKFN6,Bobby Darin,Through a Long and Sleepless Night,1936-05-14,22,1959-01-01,27,156173,0.26,0.0664,0,0.0432,3,1,0.0856,-25.006,0.609,0.0404,64.93,0.155,1959,1
5usSAEQgKOnG03QXGDm1zA,Alan Menken,"Jig - From ""The Little Mermaid""/Score",1949-07-22,47,1997-01-01,39,94573,0.792,0.24600000000000002,0,8.57e-06,7,1,0.371,-13.624,0.6890000000000001,0.0465,125.5,0.7,1997,1
5usfjkANiQkilbhmelXPh2,Chick Corea,Sometime Ago / La Fiesta,1941-06-12,31,1972-07-01,29,1394000,0.331,0.424,0,0.0199,9,0,0.11,-16.5,0.873,0.04,102.89399999999999,0.255,1972,1
5utYYyUPnf3ayrh9JeM7Y2,Barbra Streisand,People,1942-04-24,22,1964-09-01,32,260433,0.2175,0.22085000000000002,0,4.375e-05,9,1,0.10930000000000001,-10.7555,0.9304999999999999,0.035199999999999995,81.14099999999999,0.11715,1964,2
5uuHIL4VUzftdHO9UPV39Z,Olivia Newton-John,Landslide,1948-09-26,32,1981-01-01,20,267093,0.736,0.56,0,0.0,2,1,0.231,-12.245999999999999,0.20600000000000002,0.043,131.352,0.88,1981,1
5uuJruktM9fMdN9Va0DUMl,Wild Cherry,Play That Funky Music,1949-08-02,26,1976-01-01,61,300900,0.8180000000000001,0.771,0,0.0,9,1,0.053,-9.162500000000001,0.08374999999999999,0.06055,109.28399999999999,0.9169999999999999,1976,2
5uuXtfqM7Wp3idCxyHeOll,Linkin Park,With You,1977-06-08,23,2000-10-24,51,203267,0.42100000000000004,0.978,0,0.0,6,0,0.111,-4.004,0.0037,0.302,196.921,0.359,2000,2
5uuZI0l5SMRMAIVzPl1xgU,Thomas Newman,Dead Already,1955-10-20,44,2000-01-11,48,198360,0.813,0.331,0,0.851,7,0,0.136,-11.152000000000001,0.8109999999999999,0.048,128.003,0.239,2000,1
5uunXHE4kIW6uS4HWAXaOQ,Gojira,Silvera,1977-06-01,39,2016-06-17,60,212653,0.33299999999999996,0.9590000000000001,0,0.0563,2,1,0.299,-4.348,3.19e-06,0.07200000000000001,137.05200000000002,0.242,2016,1
5uvcyGXfj5W5NCH0qAH7Aj,Bob Wills,Dusty Skies,1905-03-06,54,1960-01-01,12,199013,0.555,0.218,0,3.02e-05,7,1,0.157,-12.520999999999999,0.521,0.0324,108.897,0.442,1960,1
5uvosCdMlFdTXhoazkTI5R,The Doors,Light My Fire,1943-07-01,23,1967-01-04,72,429760,0.413,0.725,0,2.1600000000000007e-05,3,0,0.0905,-5.787000000000001,0.369,0.0324,124.618,0.44,1967,1
5uwUvlB4EKeA9WTuQv0O1r,The Brothers Four,The John B. Sails,1921-02-25,42,1963-12-06,18,224533,0.6779999999999999,0.312,0,1.22e-06,4,1,0.138,-14.682,0.9009999999999999,0.0343,128.71200000000002,0.713,1963,1
5uwbSwv7uRUEMEy3YkqwrZ,Wes Montgomery,Movin' Wes - Pt. 1,1923-03-06,40,1964-01-01,33,209227,0.76,0.599,0,0.698,0,1,0.12300000000000001,-11.929,0.841,0.0296,132.465,0.945,1964,1
5uwf43E8QHEcDONhf8EI27,Yo Gotti,H.O.E. (Heaven On Earth),1981-05-19,38,2020-01-23,62,191436,0.875,0.541,1,0.0,2,0,0.309,-6.388,0.0439,0.365,84.009,0.544,2020,1
5uxHZdFWvAz5O3to6N1lBk,Marvin Gaye,Taking My Time,1939-04-02,24,1963-12-01,14,147533,0.5870000000000001,0.47700000000000004,0,0.0,0,0,0.35700000000000004,-10.517000000000001,0.675,0.0344,134.329,0.9390000000000001,1963,1
5uxYeUCnpVn2OXJ5FoaMCO,Burning Spear,"Red, Gold And Green",1945-03-01,29,1975-02-12,32,193880,0.674,0.674,0,0.319,7,1,0.157,-11.241,0.0319,0.0527,148.498,0.8290000000000001,1975,1
5uyAeakIkHyTSW88uCD0M4,Elton John,Jamaica Jerk-Off - Remastered 2014,1947-03-25,26,1973-10-05,34,218342,0.753,0.732,0,1.7e-06,3,0,0.0626,-8.828,0.000728,0.0383,134.066,0.951,1973,2
5uyBw0P31QMYmp4eK9Tpy2,Yma Sumac,Jivaro,1922-09-10,34,1957-01-01,25,174800,0.337,0.32299999999999995,0,0.0555,4,0,0.506,-14.491,0.879,0.0571,110.47200000000001,0.0606,1957,1
