id,artists,name,born_or_started,age_at_release,release_date,popularity,duration_ms,danceability,energy,explicit,instrumentalness,key,mode,liveness,loudness,acousticness,speechiness,tempo,valence,year,num_duplicates
4y22ikbRHTRRkZCKsLOGe3,Mary Costa,Blue Bird / I Wonder,1930-04-05,28,1959-01-01,31,163867,0.285,0.155,0,0.823,1,1,0.0758,-19.97,0.946,0.0422,87.551,0.0865,1959,1
4y2dMpVzEVnadFvSz7WIxQ,Quincy Jones,The Birth Of A Band,1933-03-14,25,1959-01-01,10,177627,0.3,0.904,0,0.121,10,1,0.348,-7.633999999999999,0.545,0.42,82.37799999999999,0.22399999999999998,1959,1
4y3PDG3iZUtyVxwbqpRwEK,The Byrds,Oh! Susannah,1942-10-20,23,1965-12-06,23,183200,0.36,0.525,0,1.8e-05,0,1,0.265,-10.372,0.602,0.0484,171.204,0.324,1965,1
4y3clu5ma91RfOLO5YYOIA,Cheap Trick,If You Want My Love,1952-02-17,30,1982-04-30,44,215720,0.494,0.6829999999999999,0,0.0,4,1,0.28800000000000003,-9.509,0.0213,0.0323,115.441,0.474,1982,1
4y42JYIIfYXrJ63s5hQQWS,Phil Collins,Hang in Long Enough - 2016 Remaster,1951-01-30,38,1989-11-20,38,285000,0.764,0.82,0,0.0219,10,0,0.917,-5.153,0.321,0.0349,119.985,0.56,1989,1
4y42VnzfGCV7gXr1qcL302,Rocío Dúrcal,Costumbres,1944-10-04,39,1984-01-01,57,272633,0.402,0.1385,0,0.00041799999999999997,9,0,0.21450000000000002,-16.0295,0.629,0.03275,172.22750000000002,0.357,1984,2
4y499c7zNzmlPWM2NqDEUi,Connie Francis,That's Amore,1937-12-12,22,1960-01-01,26,137293,0.359,0.266,0,0.0,7,1,0.0829,-8.345,0.7709999999999999,0.0266,85.462,0.614,1960,1
4y4JCfza8Yy6odxyNcooFy,Howard Keel,Make Believe - Reprise,1919-04-13,32,1951-09-24,4,90573,0.29100000000000004,0.0511,0,0.635,9,1,0.124,-25.123,0.981,0.0443,76.801,0.0764,1951,1
4y4gIF4tD785sjnCFAtqRu,Dom Kennedy,When I Come Around,1984-08-22,26,2011-06-28,57,223339,0.8140000000000001,0.568,1,0.0,1,1,0.575,-7.482,0.0256,0.308,97.977,0.56,2011,1
4y4ilhWm4BcoWs7o5VsI3R,Raphael Saadiq,Still Ray,1966-05-14,35,2002-01-01,50,183293,0.8270000000000001,0.452,0,0.000184,10,0,0.0913,-8.354,0.0437,0.0355,83.81700000000002,0.922,2002,1
4y5XXRozx8q2hs3a9SAEAd,Glenn Miller,Every Day's A Holiday,1904-03-01,30,1935-01-01,10,163240,0.7440000000000001,0.040999999999999995,0,0.0528,3,1,0.0533,-22.303,0.9690000000000001,0.0802,165.00599999999997,0.664,1935,1
4y5bvROuBDPr5fuwXbIBZR,Taylor Swift,Paper Rings,1989-12-13,29,2019-08-23,72,222400,0.8109999999999999,0.7190000000000001,0,1.36e-05,9,1,0.0742,-6.553,0.0129,0.0497,103.979,0.865,2019,1
4y5c6RsmHzrNHqL1n8hMyI,Martha Reeves & The Vandellas,(Love Is Like A) Heat Wave - Single Version,1944-06-28,54,1999-01-01,43,165933,0.519,0.647,0,0.0075299999999999985,0,0,0.4,-8.174,0.485,0.0777,165.929,0.7609999999999999,1999,1
4y5qZUZU5sojHT033PFP26,Brian Eno,A Clearing - Remastered 2004,1948-05-15,33,1982-03-01,39,247947,0.16899999999999998,0.0015400000000000001,0,0.97,5,1,0.0847,-32.367,0.986,0.0601,115.74,0.0283,1982,1
4y6zeTt2jfrogB8NLpGWpk,Jackie Gleason,Come Rain Or Come Shine,1916-02-26,39,1955-06-06,4,194640,0.0918,0.419,0,0.91,9,0,0.157,-10.762,0.816,0.0395,174.021,0.0393,1955,1
4y77BxjMGSmFZ441aZDuCZ,Joan Weber,"Let Me Go, Lover",1935-12-12,14,1950-01-01,14,142733,0.376,0.29600000000000004,0,0.0,9,1,0.124,-7.202999999999999,0.902,0.0344,83.38799999999998,0.336,1950,1
