id,artists,name,born_or_started,age_at_release,release_date,popularity,duration_ms,danceability,energy,explicit,instrumentalness,key,mode,liveness,loudness,acousticness,speechiness,tempo,valence,year,num_duplicates
2k6hpKTyubRVOmQR11ViY3,Gorillaz,Demon Days,1968-03-28,37,2005-05-23,54,268400,0.499,0.637,0,0.228,2,1,0.226,-9.035,0.0265,0.0401,125.198,0.10300000000000001,2005,1
2k7gS1tS9OHeS3e8MatzgJ,The Beatles,You Know My Name (Look Up The Number) - Remastered 2009,1941-09-22,46,1988-03-07,38,259907,0.672,0.529,0,0.0,2,1,0.147,-11.565999999999999,0.647,0.2,118.822,0.696,1988,1
2k8kNgmsopJyuVPfcVSu2k,Billy Vaughn,Mexicali Rose,1919-04-12,38,1958-01-01,18,113587,0.33399999999999996,0.303,0,0.6609999999999999,0,1,0.10099999999999999,-10.809000000000001,0.7390000000000001,0.0275,105.883,0.365,1958,1
2k8nNJfIuOuT3RPVFmA9UG,Etta Jones,Don't Go To Strangers,1928-11-25,31,1960-01-01,33,229467,0.392,0.0293,0,0.000275,7,1,0.17600000000000002,-19.312,0.972,0.0512,58.00100000000001,0.212,1960,1
2k9VZEnDLNCNou3wjIjxE0,Los Tigres Del Norte,De Paisano A Paisano,1979-03-23,20,2000-01-01,49,198973,0.74,0.693,0,0.0,7,1,0.293,-5.0,0.153,0.0421,109.87200000000001,0.951,2000,1
2k9XwzyCNfjkLvAu7FXPkA,The Buckinghams,Hey Baby (They're Playing Our Song),1944-04-30,23,1967-05-12,32,165733,0.469,0.523,0,0.0,5,1,0.3,-12.979000000000001,0.228,0.0828,138.861,0.7809999999999999,1967,1
2k9cDkVumJEtoBASCPIiFw,Elle Varner,Refill,1989-02-12,23,2012-08-03,47,240133,0.425,0.536,0,0.0,0,0,0.214,-4.063,0.0415,0.0336,128.064,0.257,2012,1
2kAwInoNljoVi4SsYCnFeo,James Newton Howard,Rue's Farewell,1951-06-09,60,2012-01-01,53,299800,0.0629,0.0234,0,0.971,9,0,0.0796,-20.537,0.9209999999999999,0.0438,65.895,0.0395,2012,1
2kAyWa0TImG3M4RxLJHDPb,The Buggles,"Clean, Clean",1951-02-03,28,1980-01-10,22,234333,0.604,0.716,0,0.00315,11,0,0.102,-12.651,0.0389,0.0609,160.47299999999996,0.8190000000000001,1980,1
2kB7QeAFj1SLAIKSCMYSSs,Phil Ochs,Draft Dodger Rag,1940-12-19,24,1965-01-01,35,131267,0.7290000000000001,0.168,0,0.0,5,1,0.0934,-13.265,0.85,0.145,96.166,0.6920000000000001,1965,1
