id,artists,name,born_or_started,age_at_release,release_date,popularity,duration_ms,danceability,energy,explicit,instrumentalness,key,mode,liveness,loudness,acousticness,speechiness,tempo,valence,year,num_duplicates
4eumFsTnduH3zRfaASoAPs,Ariana Grande,My Everything,1993-06-26,21,2014-08-25,61,168520,0.54,0.265,0,0.0,11,1,0.131,-5.307,0.88,0.0297,61.975,0.423,2014,1
4eutTl0zQO0fts7ZYZAA9B,Frank Sinatra,Moonlight On The Ganges,1915-12-12,45,1961-07-01,14,200600,0.324,0.426,0,1.99e-06,7,0,0.41100000000000003,-10.898,0.47600000000000003,0.0315,140.858,0.414,1961,1
4ev1k4E9LWtrHekGYoPKct,Townes Van Zandt,To Live Is to Fly - Live,1944-03-07,32,1977-01-01,28,200813,0.614,0.27399999999999997,0,0.0,2,1,0.69,-16.840999999999998,0.857,0.315,77.931,0.519,1977,1
4evGW5N0eRbVzw9dyES0xt,Laura Marling,Ghosts,1990-02-01,21,2011-07-25,45,179960,0.46299999999999997,0.368,0,0.0,9,1,0.149,-11.546,0.376,0.048,141.974,0.75,2011,1
4evNAIUgmMUw7AtSrZ5j2a,Los Bukis,"Vete, Aléjate De Mi",1972-02-29,28,2001-01-01,53,228933,0.654,0.46,0,9.06e-06,0,1,0.159,-13.645,0.0253,0.0305,102.171,0.276,2001,1
4ewDBFEAw4jBFuftcOJNK1,Ibrahim Ferrer,Bruca Maniguá,1927-02-20,72,1999-06-07,55,284320,0.499,0.371,0,0.00557,10,1,0.131,-11.624,0.836,0.0449,110.274,0.684,1999,1
4ewIxEfkJpfRZJgw9OH6oT,Joe Bataan,I'm Satisfied,1942-11-15,30,1972-12-31,28,215953,0.627,0.503,0,0.0,5,0,0.203,-17.029,0.382,0.0334,120.042,0.94,1972,1
4exfI4lpJYg1qAqZL8w62q,Adele,Daydreamer,1988-05-05,19,2008-01-28,60,219507,0.802,0.109,0,0.0,9,1,0.109,-13.215,0.96,0.0402,109.04299999999999,0.326,2008,1
4expDJuWxmwzg27cwWurPJ,Elvis Costello & The Attractions,Moods For Moderns,1954-08-25,24,1979-01-01,26,168667,0.6940000000000001,0.747,0,0.12300000000000001,9,1,0.231,-7.809,0.0493,0.0342,138.244,0.966,1979,1
4ey6SkYPpN85wnWQZFCbZk,Metallica,Fight Fire With Fire (Studio Demo),1963-02-19,21,1984-07-27,21,301277,0.20199999999999999,0.981,0,0.698,7,1,0.0418,-6.315,0.000587,0.1,166.45,0.0531,1984,1
4eylQRIJ7FuEWeXd66rogY,The Allman Brothers Band,"In Memory Of Elizabeth Reed - Live At The Final Fillmore East Concert, 1971",1949-02-26,22,1972-02-12,22,770867,0.33399999999999996,0.498,0,0.88,9,0,0.855,-13.619000000000002,0.21100000000000002,0.0314,111.619,0.634,1972,1
4ez5L1Yzb2fCWMyERprpSz,Kenny G,G-Bop,1956-06-05,35,1992-01-01,42,245867,0.593,0.462,0,0.696,5,0,0.0487,-14.032,0.0004570000000000001,0.191,202.155,0.8059999999999999,1992,1
4ezafcOuI5em8LoE2xxnpv,Xzibit,What U See Is What U Get,1974-09-18,25,1999-11-08,54,308907,0.7240000000000001,0.8059999999999999,1,0.0,1,0,0.314,-6.843,0.0541,0.295,93.863,0.586,1999,1
