id,artists,name,born_or_started,age_at_release,release_date,popularity,duration_ms,danceability,energy,explicit,instrumentalness,key,mode,liveness,loudness,acousticness,speechiness,tempo,valence,year,num_duplicates
6rHGfH2SCBlwZSQTm2FfYD,Dean Martin,Until The Real Thing Comes Along - Remastered/1998,1917-06-07,42,1960-01-01,25,182120,0.634,0.165,0,0.0,5,1,0.0598,-14.302,0.7440000000000001,0.0378,102.361,0.521,1960,1
6rHPllBIrf0IV6UKtegyjo,The Beach Boys,Be True To Your School,1945-12-13,17,1963-10-07,30,128146,0.5245,0.617,0,3.975e-06,10,1,0.13224999999999998,-9.809,0.513,0.03485,139.49349999999998,0.8314999999999999,1963,2
6rHh8urosEFRI67xVa6fzU,The Beatles,The Fool On The Hill - Remastered 2009,1941-09-22,26,1967-11-27,49,179680,0.39949999999999997,0.241,0,2.8800000000000004e-06,4,0,0.0819,-11.42,0.9159999999999999,0.0315,107.96549999999999,0.5235000000000001,1967,2
6rIAIA2Ykh1Sgx3ufQdpY0,Bobby Valentin,Hay Cráneo,1941-06-09,33,1974-12-31,25,238293,0.665,0.634,0,1.01e-06,7,0,0.152,-10.651,0.6940000000000001,0.0418,96.5,0.941,1974,1
6rK7P0b3OWsx0DBh2Mlwjo,Fourplay,Foreplay,1951-11-03,39,1991-09-17,32,326667,0.741,0.36,0,0.868,4,0,0.0809,-14.824000000000002,0.585,0.0449,120.074,0.21600000000000005,1991,1
6rLEeo9rNT87t2xHry8xUl,Whitechapel,The Saw Is the Law,1956-12-27,57,2014-05-27,53,267613,0.47600000000000003,0.9940000000000001,0,0.000149,11,0,0.139,-3.429,0.0005690000000000001,0.18,115.103,0.21600000000000005,2014,1
6rLYsNxYB1W8pfa2nRHScA,Big Time Rush,Any Kind of Guy,1990-05-11,19,2010-02-02,56,220467,0.675,0.762,0,0.0,9,0,0.0771,-3.7289999999999996,0.198,0.0468,111.978,0.7020000000000001,2010,1
6rLfU9QCwLUMRW5gGG7BWA,Grateful Dead,Dire Wolf - 2013 Remaster,1946-11-04,23,1970-01-01,51,194491,0.615,0.376,0,0.0,9,1,0.0524,-11.331,0.763,0.0347,76.711,0.725,1970,1
6rLqjzGV5VMLDWEnuUqi8q,Martha Reeves & The Vandellas,Dancing In The Street,1944-06-28,20,1965-01-01,69,165227,0.556,0.57,0,0.000526,2,1,0.198,-9.472000000000001,0.0118,0.0393,126.01,0.304,1965,1
6rLxoiotadeUjeB2gyqcto,Antônio Carlos Jobim,Só tinha de ser com você,1927-01-25,37,1965-01-01,23,146893,0.479,0.145,0,0.0,7,1,0.0894,-20.203,0.831,0.0362,138.094,0.493,1965,1
6rMCLdegdg4BACwBpjht3E,Fleetwood Mac,Never Going Back Again - 2004 Remaster,1948-09-27,28,1977-02-04,54,134400,0.654,0.336,0,0.385,6,1,0.0786,-12.825,0.858,0.0379,176.083,0.9470000000000001,1977,2
6rMj9k99Rw3woiM2mXrma5,Harry McClintock,Stung Right,1882-10-08,67,1950-01-01,3,167507,0.6729999999999999,0.156,0,0.0,7,1,0.376,-17.175,0.711,0.42,122.064,0.693,1950,1
6rMp4peGqo1zaT8ErytHgd,Gal Costa,Saudosismo,1946-09-26,22,1969-01-01,31,190133,0.522,0.35100000000000003,0,9.01e-05,9,0,0.0924,-16.182000000000002,0.67,0.0341,144.84799999999996,0.56,1969,1
6rN4PWNTD8AY1mfLslqrQG,The Police,On Any Other Day,1949-06-10,30,1979-10-02,44,176973,0.6559999999999999,0.745,0,0.0,11,0,0.374,-8.834,0.0514,0.10300000000000001,157.44299999999996,0.9079999999999999,1979,1
6rNOKdqa2lThuBIJOZXSVa,Frank Sinatra,Learnin' The Blues,1915-12-12,79,1995-01-01,46,181820,0.5095000000000001,0.2715,0,0.0,9,1,0.05875,-10.7165,0.571,0.035699999999999996,127.2765,0.6335,1995,2
6rNivCFnHjwYWKbZEO9o6x,Miklós Rózsa,"The Prince of Peace, Pt. 1 - Extended Version",1907-04-18,52,1960-01-29,14,186760,0.0859,0.10400000000000001,0,0.94,5,1,0.187,-23.433000000000003,0.863,0.0389,84.802,0.0343,1960,1
6rOTeZ6ryKHqqKWsN6wn3j,Tom Waits,Rain Dogs,1949-12-07,35,1985-09-30,41,175933,0.782,0.295,0,3.05e-06,2,1,0.0762,-13.788,0.494,0.0844,135.08,0.5660000000000001,1985,1
6rOVbgBB8YTpUrrSflSF2O,Balmorhea,Masollan,1971-04-26,40,2012-02-10,54,313460,0.45899999999999996,0.325,0,0.899,4,1,0.113,-13.411,0.324,0.0261,90.81700000000001,0.17600000000000002,2012,1
6rPAsWugTohlV1IUrsWNSG,Mike Ness,Don't Think Twice,1962-04-03,36,1999-01-01,42,227133,0.496,0.9470000000000001,0,0.524,8,1,0.11599999999999999,-4.694,3.21e-05,0.0376,110.883,0.898,1999,1
6rPPjEzRIHF0jUCs0xJq5K,Víctor Manuelle,Volverás,1968-09-27,24,1993-01-01,44,327240,0.5,0.9329999999999999,0,2.8899999999999998e-05,4,1,0.588,-4.561,0.111,0.0483,93.895,0.8270000000000001,1993,1
6rQcK4xOzePDdrTg7Yv6d6,Madonna,What It Feels Like for a Girl,1958-08-16,42,2000-09-19,35,283893,0.67,0.627,0,0.00161,8,1,0.154,-9.497,0.201,0.0478,104.988,0.5820000000000001,2000,1
6rQlfR31QLNCBrq0no1Qc2,Dolly Parton,My Tennessee Mountain Home,1946-01-19,27,1973-04-02,46,187560,0.5770000000000001,0.27,0,0.0,0,1,0.273,-10.689,0.6970000000000001,0.0273,88.072,0.545,1973,1
6rQojhEQbtyjpDjfl9F64O,Tina Turner,I Can't Stand the Rain - 2015 Remaster,1939-11-26,44,1984-05-29,38,223173,0.775,0.7509999999999999,0,0.000202,10,0,0.0347,-5.803,0.147,0.0974,88.245,0.8340000000000001,1984,1
6rRIRMEhVclbTleCJQsrPm,Alanis Morissette,All I Really Want - 2015 Remaster,1974-06-01,20,1995-01-01,54,284093,0.562,0.8959999999999999,0,0.0,10,0,0.322,-7.974,0.0117,0.203,93.37799999999999,0.36200000000000004,1995,1
6rROXfjFzQyH2w9FAiVkq7,Shakira,Sombra de Ti,1977-02-02,21,1998-09-29,51,213760,0.632,0.414,0,0.0005769999999999999,11,0,0.11,-13.45,0.693,0.033,109.198,0.16899999999999998,1998,1
6rSuL1ViLO7Aljn2WD09s4,Skillet,Whispers in the Dark,1989-12-08,16,2006-10-03,64,204347,0.509,0.938,0,0.00246,11,0,0.14,-3.883,0.000644,0.0715,94.01899999999999,0.335,2006,1
6rT1BTeBQvUW7U9JuuGTWv,Frou Frou,Must Be Dreaming,1977-12-09,24,2002-01-01,39,241933,0.596,0.823,0,1.9600000000000002e-05,9,0,0.102,-6.89,0.295,0.0476,147.976,0.534,2002,1
6rT6dgUTrCF9HLBwTK75bR,Def Leppard,Action Not Words,1960-04-02,22,1983-01-20,31,228592,0.5760000000000001,0.871,0,0.0246,7,1,0.152,-6.2589999999999995,0.000294,0.0509,126.344,0.475,1983,2
6rUGbjo3y0MbeQNaPfytXe,Bob Berg,All The Way,1951-04-07,45,1997-01-01,50,335333,0.337,0.159,0,0.0117,0,0,0.0946,-15.605,0.7290000000000001,0.0374,78.807,0.204,1997,1
6rUJjG9w109kXQywBxfPLV,George Benson,What's New?,1943-03-22,24,1968-01-01,22,332733,0.5710000000000001,0.201,0,0.757,5,0,0.11199999999999999,-17.878,0.895,0.0409,81.705,0.511,1968,1
6rUMNMLsBuBlxEm5Xg0RwL,Ray Conniff,Stompin' At The Savoy,1916-11-06,47,1964-07-22,17,149560,0.575,0.535,0,0.847,10,1,0.579,-9.062999999999999,0.391,0.027999999999999997,82.616,0.9570000000000001,1964,1
