id,artists,name,born_or_started,age_at_release,release_date,popularity,duration_ms,danceability,energy,explicit,instrumentalness,key,mode,liveness,loudness,acousticness,speechiness,tempo,valence,year,num_duplicates
6EBNDe7okfEut5WMf9tTIq,Limp Bizkit,Intro,1963-01-15,37,2000-10-17,44,78760,0.665,0.523,0,0.0767,8,1,0.0964,-16.879,0.7959999999999999,0.375,199.919,0.102,2000,1
6EBuu6wSQAqOFZeRV2BsaE,Stephen Stills,Blues Man,1945-01-03,26,1972-01-01,25,244173,0.61,0.267,0,0.0067,2,1,0.111,-14.994000000000002,0.36200000000000004,0.0382,140.137,0.171,1972,1
6EC51OfUhguCbNp5H5SdGm,Bill Evans Trio,"Waltz For Debby - Live At The Village Vanguard, New York / 1961 / Take 2",1929-08-16,31,1961-01-01,31,412820,0.5609999999999999,0.28250000000000003,0,0.8485,5,1,0.11,-19.0785,0.841,0.03995,88.28099999999999,0.502,1961,2
6ECGyfQNIQqocru2t8cgbV,Three Dog Night,Feeling Alright,1946-06-01,22,1969-01-01,32,220507,0.424,0.83,0,0.0008960000000000002,6,1,0.22,-8.96,0.0691,0.10300000000000001,98.919,0.753,1969,1
6ECHNv4bPnAiaquIPGt8es,Vicente Fernández,Si Acaso Vuelves,1940-02-17,31,1972-01-01,43,183760,0.574,0.408,0,7.18e-06,4,1,0.292,-5.9179999999999975,0.659,0.0332,86.448,0.495,1972,1
6ECnAHxGQilDe32zQqfdz3,Earl Hooker,You Don't Want Me,1930-01-15,59,1990-01-01,48,316667,0.593,0.46399999999999997,0,0.00021400000000000002,7,1,0.166,-16.925,0.509,0.0374,113.001,0.763,1990,1
6ECuTFjWKMCGTPKwCyuQkY,U2,Two Hearts Beat As One - Remastered 2008,1960-09-19,22,1983-02-28,38,243040,0.547,0.898,0,1.18e-06,8,0,0.11199999999999999,-8.485,0.0478,0.0477,141.567,0.855,1983,2
6ED0x2vQESi6YSh4GkYBBs,Lead Belly,"Haul Away, Joe",1888-01-23,54,1943-01-01,0,136359,0.451,0.243,0,0.0,5,1,0.324,-13.477,0.888,0.276,80.137,0.359,1943,1
6ED55VLiJwnaWEuo45f6MF,The J. Geils Band,Whammer Jammer,1947-01-11,23,1971-01-01,40,158267,0.581,0.542,0,0.941,9,1,0.266,-9.336,0.7909999999999999,0.0867,104.21600000000001,0.6659999999999999,1971,1
6EDHueoKtK83I00j5bVO9z,Ella Fitzgerald,Cotton Tail,1917-04-25,39,1957-01-01,19,206627,0.504,0.40700000000000003,0,0.0,5,1,0.302,-12.425,0.634,0.0449,137.90200000000002,0.733,1957,1
6EDh3fGDzhYlgzPiccnRKe,Metal Church,Start the Fire,1958-07-16,28,1986-09-30,35,225800,0.507,0.9209999999999999,0,0.0026100000000000003,4,1,0.364,-10.350999999999999,0.000248,0.044000000000000004,148.757,0.475,1986,1
6EDsXrNXNu1k7kzlZIJrn2,Triumph,American Girls,1957-10-27,21,1979-03-30,24,303147,0.385,0.971,0,0.0541,9,1,0.271,-2.502,0.009609999999999999,0.0832,141.705,0.408,1979,1
6EDyFzr3g9EVF7KInqeROm,Mark Chesnutt,Too Cold At Home,1963-09-06,26,1990-01-01,42,219466,0.6305000000000001,0.41,0,9.659999999999999e-06,2,1,0.321,-13.2935,0.23800000000000002,0.0233,92.999,0.5195000000000001,1990,2
6EErUzFfx0ZoxjXoq8ud8J,Aventura,Peligro,1980-01-19,29,2009-06-09,54,278373,0.726,0.654,0,0.0,6,0,0.34700000000000003,-8.772,0.0591,0.0334,136.02100000000002,0.897,2009,1
6EF0xhfKtQNqUPz2mnE5BD,Mastodon,The Motherload,1973-07-16,40,2014-06-20,55,299787,0.363,0.971,0,0.00358,5,0,0.0797,-2.9739999999999998,7.1e-06,0.0776,146.018,0.34700000000000003,2014,1
6EF9h8oMckapErRYmLmmDT,Freddie Mercury,I Was Born To Love You,1946-09-05,59,2006-09-04,40,219093,0.58,0.607,0,1.17e-05,8,1,0.39,-9.908999999999999,0.006540000000000001,0.0346,139.446,0.375,2006,1
6EFagSx8kOmHnXnryCnnEW,Angela Bofill,Under the Moon and Over the Sky,1954-05-02,23,1978-01-01,27,343000,0.389,0.701,0,0.0015300000000000001,5,0,0.10400000000000001,-7.731,0.251,0.0394,157.254,0.765,1978,1
6EFoIw53Be0w2aq3oF09qe,John Coltrane Quartet,A Love Supreme Pt. II - Resolution - Alternate Take,1926-09-23,38,1965-02-01,13,443000,0.42,0.58,0,1.16e-06,8,1,0.132,-9.273,0.58,0.0607,123.344,0.496,1965,1
6EFpkftDfJGAO44MFfLjdL,Los Bukis,No Te Des Por Vencido,1972-02-29,18,1991-01-01,34,210853,0.7759999999999999,0.5379999999999999,0,4.11e-06,7,1,0.305,-14.432,0.249,0.0515,95.45700000000001,0.742,1991,1
6EFryfyWOobzFCBDB9qbrz,Lil Uzi Vert,Safe House,1994-07-31,21,2015-12-18,51,235989,0.485,0.662,1,0.0,9,1,0.11900000000000001,-5.1720000000000015,0.155,0.243,104.71700000000001,0.287,2015,1
6EGAfJaLUFzhS4zRBIEQ2J,Jason Aldean,You Make It Easy,1977-02-28,40,2018-01-26,71,196800,0.375,0.574,0,0.0,7,1,0.11,-5.305,0.14300000000000002,0.0315,132.025,0.406,2018,2
6EGRx5TVuHAsmy3JKb8SRC,Kathy Mattea,Eighteen Wheels And A Dozen Roses,1959-06-21,27,1987-01-01,52,203400,0.647,0.6,0,0.00011200000000000001,8,1,0.0738,-13.625,0.0684,0.0261,139.274,0.961,1987,1
6EGfgNUSxVINKcmpbyssUE,Hercules & Love Affair,Blind,1977-10-29,30,2008-02-25,40,378257,0.7070000000000001,0.932,0,0.0006349999999999999,9,0,0.0486,-5.822,0.00403,0.0332,118.57600000000001,0.612,2008,1
6EGg4oDb2rBVt2G9SnmZuK,Hank Locklin,A Good Woman's Love,1918-02-15,47,1966-01-01,33,139093,0.365,0.446,0,0.0,2,1,0.0654,-9.421,0.8,0.0308,173.657,0.693,1966,1
6EGzKC0sQr7fAbCCumah8l,Dance Gavin Dance,Betrayed By The Game,1985-12-07,30,2016-10-07,53,190427,0.33899999999999997,0.9740000000000001,0,0.0,7,1,0.57,-2.833,0.0026899999999999997,0.0851,170.99,0.488,2016,1
6EH4t79u6Qv9cPeSnowYlu,Alice Cooper,No More Mr. Nice Guy,1948-02-04,24,1973-01-01,42,187893,0.498,0.515,0,0.0,11,0,0.10000000000000002,-11.985,0.0936,0.0395,127.76100000000001,0.616,1973,3
6EHPkHkLS80uk7GZT4g6sY,Dr. John,Somebody Changed the Lock,1940-11-21,31,1972-01-01,24,165907,0.616,0.534,0,0.0113,10,1,0.26,-11.132,0.5379999999999999,0.0501,94.03200000000001,0.645,1972,1
6EHuOufBeL6vk3TvVJB5qo,The Beatles,Please Please Me - Remastered 2009,1941-09-22,21,1963-03-22,61,120853,0.527,0.48,0,0.0,4,1,0.0702,-9.61,0.33399999999999996,0.027999999999999997,139.388,0.706,1963,1
6EINtIR7ba43j0wZdR1y5F,Johnny Cash,Nine Pound Hammer,1932-02-26,30,1963-02-01,19,195320,0.7809999999999999,0.377,0,0.036000000000000004,0,1,0.142,-12.922,0.657,0.0377,133.97899999999998,0.49,1963,1
6EIQ1WCewMDSxF9XV2hD3z,The Marshall Tucker Band,Ramblin',1950-07-07,22,1973-01-01,28,307600,0.5,0.823,0,0.161,9,0,0.0595,-5.8870000000000005,0.16399999999999998,0.10099999999999999,114.338,0.488,1973,1
6EIcGrSIP8ZLnokgBeY3UP,Bill Evans Trio,Night And Day,1929-08-16,29,1959-01-01,31,453200,0.442,0.35600000000000004,0,0.0036899999999999997,1,1,0.0933,-14.767000000000001,0.5539999999999999,0.0541,83.664,0.622,1959,1
6EIsMa5lbvljYxqCkjZVDi,Ariana Grande,Baby I,1993-06-26,19,2013-01-01,56,197600,0.725,0.7959999999999999,0,0.0,1,1,0.354,-3.6839999999999997,0.0154,0.0326,101.976,0.517,2013,1
6EIxPp1ZZlGQPSdNanNS8a,John Mellencamp,Tonight,1951-10-07,28,1980-01-01,20,197067,0.857,0.629,0,5.33e-06,0,1,0.105,-5.305,0.106,0.0415,114.395,0.961,1980,1
6EIyZEtL8Iky8hvxje1dDE,Red Hot Chili Peppers,On Mercury,1964-03-21,38,2002-07-09,49,207667,0.48,0.966,0,6.44e-06,11,0,0.27,-2.64,0.17600000000000002,0.102,172.372,0.7190000000000001,2002,1
6EJ0F4b1ZRm0auBsRYAO47,Dionne Warwick,Alfie,1940-12-12,26,1967-01-01,32,165306,0.317,0.293,0,5.29e-06,10,1,0.132,-9.849,0.929,0.0328,137.06,0.183,1967,2
6EJiVf7U0p1BBfs0qqeb1f,Carly Rae Jepsen,Cut To The Feeling,1985-11-21,31,2017-05-26,67,207960,0.71,0.909,0,0.00123,2,1,0.303,-2.7769999999999997,0.0135,0.0639,115.001,0.648,2017,1
6EJirOzDkVt0Zv1NAScdWC,Disturbed,Mistress,1971-08-11,31,2002-09-16,41,225093,0.5870000000000001,0.9420000000000001,0,0.0,10,0,0.132,-4.882,0.00337,0.0665,95.016,0.579,2002,1
6EK3rxlUk4Pbq3qs9U0mOL,Sonny Rollins,More Than You Know - RVG Remaster,1930-09-07,23,1954-01-01,12,650307,0.611,0.27899999999999997,0,0.564,8,1,0.0805,-10.102,0.895,0.0538,120.85700000000001,0.318,1954,1
6EKHxZ8jsHbAaoOmAEWSoS,Marty Robbins,I've Got No Use for the Women,1925-09-26,34,1960-07-18,20,201733,0.467,0.239,0,0.0,3,1,0.218,-13.222000000000001,0.8909999999999999,0.0508,183.13,0.703,1960,1
6ELW84KQfJtoOyH8KMLTN7,Francisco Canaro,"Adiós, Que Te Vaya Bien - Remasterizado",1888-11-26,40,1929-10-17,0,165920,0.8079999999999999,0.289,0,0.826,0,1,0.11599999999999999,-13.103,0.986,0.174,120.32799999999999,0.8959999999999999,1929,1
6ELgz6uURtYvKbjm1d4dFp,The Dramatics,Hey You! Get Off My Mountain,1920-03-09,50,1971-01-01,35,212307,0.49,0.5479999999999999,0,2.65e-05,2,1,0.324,-10.017999999999999,0.10800000000000001,0.0368,157.385,0.711,1971,1
6ELxgQmI8bJBmzEFunNeD8,Judy Garland,Zing! Went The Strings Of My Heart - Live At Carnegie Hall/1961,1922-06-10,39,1961-07-10,20,244831,0.303,0.87,0,0.0,7,1,0.431,-12.276,0.455,0.355,153.83700000000005,0.27399999999999997,1961,1
6EMImSrB2kkbz0ZHtMa7zj,George Thorogood & The Destroyers,Who Do You Love?,1950-02-24,41,1992-01-01,57,260160,0.524,0.91,0,0.192,4,1,0.147,-8.55,0.00525,0.0628,107.23700000000001,0.59,1992,1
6EMQo2suHaUYZVsbGVTxSZ,Roxy Music,Jealous Guy - Remastered,1950-09-06,50,2001-01-01,59,297307,0.51,0.622,0,0.00532,4,0,0.128,-7.651,0.0395,0.0268,77.663,0.387,2001,1
6EMTWm0HgzsvJiQQOqObEQ,Edguy,Vain Glory Opera,1975-11-05,22,1998-01-19,50,370187,0.48100000000000004,0.878,0,0.0021100000000000003,0,0,0.282,-4.734,0.0262,0.0552,136.534,0.401,1998,1
6EMX7hpOquJO1HrjqIFSk1,Sheela,Aaj Balam Ghar Aaye,1948-03-24,0,1948-12-31,0,180649,0.7859999999999999,0.16899999999999998,0,5.68e-05,2,1,0.14400000000000002,-13.124,0.9890000000000001,0.198,123.275,0.818,1948,1
6EMt3NCIn2vgZJedtnwgCt,Nat King Cole Trio,Kee-Mo Ky-Mo (The Magic Song),1919-03-17,28,1948-01-01,5,142467,0.7390000000000001,0.106,0,0.000297,9,0,0.0962,-18.739,0.982,0.111,77.241,0.718,1948,1
6EN0fTxduMrFWuFK46pi7Z,Dean Martin,I'm Confessin' (That I Love You),1917-06-07,46,1964-01-01,23,194893,0.387,0.0205,0,2.17e-05,11,0,0.11699999999999999,-15.950999999999999,0.9840000000000001,0.0598,181.701,0.16699999999999998,1964,1
6ENZJCRagbW3jlzXSucfoI,Nirvana,Aero Zeppelin,1967-03-08,24,1992-01-01,43,281227,0.289,0.953,0,0.27,8,1,0.0865,-7.795,0.0011099999999999999,0.0613,116.20299999999999,0.12,1992,1
6ENjEsefwIOE9RsATpuGcK,Carpenters,Can't Smile Without You,1950-03-02,25,1976-01-01,34,206333,0.42,0.21600000000000005,0,3.91e-05,0,1,0.174,-14.985,0.907,0.0304,100.59100000000001,0.11699999999999999,1976,1
6EO3eTy12sRwzgbXZhHpJn,Rojo,Te Amo Más Que A Mi Misma Vida,1974-02-14,35,2009-03-03,53,266449,0.779,0.7090000000000001,0,7.890000000000001e-05,1,1,0.125,-7.61,0.29,0.027999999999999997,122.024,0.6659999999999999,2009,1
6EO9yWE6PixXLqRvuahD0C,The Allman Brothers Band,Low Down Dirty Mean,1951-04-27,39,1990-07-03,32,330400,0.366,0.595,0,0.000215,2,1,0.295,-13.280999999999999,0.258,0.0356,89.765,0.7829999999999999,1990,1
6EOKwO6WaLal58MSsi6U4W,The Beatles,Eleanor Rigby,1941-09-22,72,2014-01-01,57,125227,0.521,0.301,0,0.0,4,0,0.39799999999999996,-7.117999999999999,0.836,0.0356,137.382,0.621,2014,1
6EOQScTfBjmMRi3Le22V5E,Giacomo Rondinella,E spingole francese,1923-08-30,19,1942-11-23,0,179278,0.5820000000000001,0.239,0,0.0,9,1,0.0893,-13.792,0.958,0.08800000000000001,106.646,0.537,1942,1
6EORRmiAWPSgCivDSncUcx,Keith Emerson,Abaddon's Bolero - 2015 - Remaster,1944-11-02,27,1972-07-06,27,487533,0.41,0.405,0,0.631,5,1,0.44799999999999995,-16.766,0.0303,0.0591,131.207,0.0979,1972,1
6EOS1prcuGtjQxBScl90KO,Jeezy,Let's Get It / Sky's The Limit,1977-09-28,27,2005-01-01,41,222600,0.435,0.6940000000000001,1,0.0,4,0,0.322,-6.685,0.000122,0.32299999999999995,174.766,0.0847,2005,1
6EOd2c6X2xyCCSdOHHQrMx,Mose Allison,Don't Get Around Much Anymore,1927-11-11,35,1963-01-01,28,166480,0.741,0.20800000000000002,0,0.0131,7,1,0.10800000000000001,-13.894,0.927,0.0394,119.45299999999999,0.616,1963,1
6EOdY7I7Xm1vPP1cyaGbWZ,McFadden & Whitehead,Ain't No Stoppin' Us Now,1949-01-28,29,1979-01-01,50,320927,0.7124999999999999,0.6944999999999999,0,0.0,1,1,0.07555,-7.7655,0.09375,0.0498,113.5295,0.879,1979,2
6EOsbubL3lIxRmVz6L1cfK,The Kinks,Mr. Pleasant,1944-03-28,23,1967-09-15,36,177973,0.561,0.807,0,0.0,9,0,0.26,-5.5,0.0675,0.0438,95.12,0.655,1967,1
6EPFJvZph6WC4TbydVly2D,Malo,Peace,1935-12-02,36,1972-01-01,21,560627,0.295,0.7090000000000001,0,0.0599,2,1,0.149,-10.952,0.0422,0.16399999999999998,155.374,0.0848,1972,1
6EPRKhUOdiFSQwGBRBbvsZ,Motörhead,Ace of Spades,1956-08-09,24,1980-11-08,50,167129,0.323,0.9873333333333333,0,0.003323666666666667,5,0,0.08296666666666667,-5.603666666666666,0.006816666666666666,0.19566666666666666,140.14033333333333,0.19433333333333333,1980,3
6EQjfk54NVJkA4oZGlwuiM,Boston,More Than a Feeling,1953-12-27,22,1976-01-01,57,285100,0.397,0.6755,0,0.0011267,7,1,0.0451,-8.074,0.001722,0.0284,108.87049999999999,0.3315,1976,2
